dataid,localhour,air1,	air2,	air3,	airwindowunit1,	aquarium1,	bathroom1,	bathroom2,	bedroom1,	bedroom2,	bedroom3,	bedroom4,	bedroom5,	car1,	clotheswasher1,	clotheswasher_dryg1,	diningroom1,	diningroom2,	dishwasher1,	disposal1,	drye1,	dryg1,	freezer1,	furnace1,	furnace2,	garage1,	garage2,	gen,	grid,	heater1,	housefan1,	icemaker1,	jacuzzi1,	kitchen1,	kitchen2,	kitchenapp1,	kitchenapp2,	lights_plugs1,	lights_plugs2,	lights_plugs3,	lights_plugs4,	lights_plugs5,	lights_plugs6,	livingroom1,	livingroom2,	microwave1,	office1,	outsidelights_plugs1,	outsidelights_plugs2,	oven1,	oven2,	pool1,	pool2,	poollight1,	poolpump1,	pump1,	range1,	refrigerator1,	refrigerator2,	security1,	shed1,	sprinkler1,	use,	utilityroom1,	venthood1,	waterheater1,	waterheater2,	winecooler1,water_meter_value,  gas_meter_value
2015-01-01 00:00:00-06,4934,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100000000000000000000,0,0,0.64540000000000000000,0.00116666666666666667,0,0,0,0.12263333333333333333,0,0,0,0,1.1272666666666667,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0.00861666666666666667,0,0,0,0.00700000000000000000,0,0,0,0,0,0,0,0.06910000000000000000,0,0,0,0,1.1272666666666667,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,5938,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00300000000000000000,0,0,0.00000000000000000000,0.00208333333333333333,0,0,0,0.00500000000000000000,0,0,0,0,0.81068333333333333333,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0.31391666666666666667,0,0.05513333333333333333,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.08830000000000000000,0,0,0,0,0.81068333333333333333,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,6377,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00245000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.16950000000000000000,0,0,0,0,0.65401666666666666667,0,0,0,0,0,0,0.00115000000000000000,0.02155000000000000000,0,0,0,0,0,0,0,0,0.03550000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.13071666666666666667,0,0,0,0,0.65401666666666666667,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,6547,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00800000000000000000,0,0,0,0,0.49010000000000000000,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0.00600000000000000000,0,0,0,0.00800000000000000000,0,0,0,0,0,0,0,0.07260000000000000000,0,0,0,0,0.49010000000000000000,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,7062,0.01500000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00700000000000000000,0,0,0,0,0.58805000000000000000,0,0,0,0,0,0,0.00551666666666666667,0,0,0,0,0,0,0,0.09373333333333333333,0,0.05798333333333333333,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.04311666666666666667,0,0,0,0,0.58805000000000000000,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,7114,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.03456666666666666667,0,0,0,0,0.54306666666666666667,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.16715000000000000000,0,0.04368333333333333333,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0.09686666666666666667,0,0,0,0,0.54306666666666666667,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,8061,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.38305000000000000000,0.00000000000000000000,0,0,0,0.07371666666666666667,0,0,0,0,0.93838333333333333333,0,0,0,0,0,0,0.00716666666666666667,0,0,0,0,0,0,0,0.11841666666666666667,0,0.00500000000000000000,0,0,0,0.00600000000000000000,0,0,0,0,0,0,0,0.06363333333333333333,0,0,0,0,0.93838333333333333333,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,8342,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00500000000000000000,0,0,0,0,0.15511666666666666667,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0.00500000000000000000,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.06065000000000000000,0,0,0,0,0.15511666666666666667,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,8574,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.05275000000000000000,0,0.03340000000000000000,0,0,0,0,1.01035000000000000000,0,0,0,0,0,0,0.00000000000000000000,0.00020000000000000000,0,0,0,0,0,0,0,0,0.00076666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.02483333333333333333,0,0,0,0,1.01035000000000000000,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,8733,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0.00000000000000000000,0.000050000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,0,0,0,0,0.48608333333333333333,0,0,0,0,0,0,0.00643333333333333333,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.02635000000000000000,0,0,0,0,0.48608333333333333333,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,9213,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00300000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,0,0,0,0,0.08718333333333333333,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.08718333333333333333,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,9585,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00600000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,0,0,0,0,0.16061666666666666667,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0.03000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.16061666666666666667,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,9612,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00791666666666666667,0,0,0,0,0.65025000000000000000,0,0,0,0,0,0,0.01288333333333333333,0,0,0,0,0,0,0,0,0,0.00541666666666666667,0,0,0,0.00285000000000000000,0,0,0,0,0,0,0,0.09970000000000000000,0,0,0,0,0.65025000000000000000,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,9775,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00603333333333333333,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.12858333333333333333,0,0,0,0,1.1438500000000000,0,0,0,0,0,0,0.02126666666666666667,0.00400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013333333333333333,0,0,0,0,1.1438500000000000,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,9836,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00400000000000000000,0,0,0.00065000000000000000,0.00000000000000000000,0,0,0,0.21468333333333333333,0,0,0,0.000016666666666666666667,0.59786666666666666667,0,0,0,0,0,0,0.00000000000000000000,0.00700000000000000000,0,0,0,0,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.03396666666666666667,0,0,0,0,0.59830000000000000000,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,203,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000050000000000000000000,0,0,0.00000000000000000000,0,0,0,0,0.00810000000000000000,0,0,0,0,0.35286666666666666667,0,0,0,0,0,0,0.05660000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00500000000000000000,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.02633333333333333333,0,0,0,0,0.35286666666666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,1450,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00250000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00748333333333333333,0,0,0,0,1.3868833333333333,0,0,0,0,0,0,0,0.05305000000000000000,0,0,0,0,0,0,0.40373333333333333333,0,0.03100000000000000000,0,0,0,0.01300000000000000000,0,0,0,0,0,0,0,0.40211666666666666667,0,0,0,0,1.3868833333333333,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,1524,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.05856666666666666667,0,0,0,0,0.48976666666666666667,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0.00500000000000000000,0,0,0,0.00803333333333333333,0,0,0,0,0,0,0,0.06201666666666666667,0,0,0,0,0.48976666666666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,1731,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373333333333333333,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.11676666666666666667,0,0,0,0,1.0354166666666667,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.15218333333333333333,0,0.00500000000000000000,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.04703333333333333333,0,0,0,0,1.0354166666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,2354,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00373333333333333333,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.13011666666666666667,0,0,0,0.00000000000000000000,0.59908333333333333333,0,0,0,0,0,0,0.00000000000000000000,0.00768333333333333333,0,0,0,0,0,0,0,0,0.01300000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59908333333333333333,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,2606,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.20831666666666666667,0,0,0,0,1.0253000000000000,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0.11713333333333333333,0,0.00500000000000000000,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,1.0253000000000000,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,3687,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00243333333333333333,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.17305000000000000000,0,0,0,0,1.3531500000000000,0,0,0,0,0,0,0.10516666666666666667,0,0,0,0,0,0,0,0.42068333333333333333,0,0.01331666666666666667,0,0,0,0.00055000000000000000,0,0,0,0,0,0,0,0.13985000000000000000,0,0,0,0,1.3531500000000000,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,3864,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00500000000000000000,0,0,0,0,0.29801666666666666667,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.03700000000000000000,0,0.00616666666666666667,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.19043333333333333333,0,0,0,0,0.29801666666666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,3938,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000050000000000000000000,0,0,0,0.52601666666666666667,0.00000000000000000000,0,0.00000000000000000000,0,0.00065000000000000000,0,0,0,0,0.81965000000000000000,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00030000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.04406666666666666667,0,0,0,0,0.81965000000000000000,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,4495,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00300000000000000000,0,0.00000000000000000000,0,0,0,0,0.16246666666666666667,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.06931666666666666667,0,0,0,0,0.16246666666666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,4934,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065000000000000000,0,0,0.44228333333333333333,0.00000000000000000000,0,0,0,0.00908333333333333333,0,0,0,0,0.66661666666666666667,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0.00518333333333333333,0,0,0,0.00700000000000000000,0,0,0,0,0,0,0,0.10421666666666666667,0,0,0,0,0.66661666666666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,5938,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00300000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00500000000000000000,0,0,0,0,0.60221666666666666667,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0.19445000000000000000,0,0.00698333333333333333,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.06448333333333333333,0,0,0,0,0.60221666666666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,6377,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00240000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.15140000000000000000,0,0,0,0,0.38231666666666666667,0,0,0,0,0,0,0.00090000000000000000,0.02071666666666666667,0,0,0,0,0,0,0,0,0.03501666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.03706666666666666667,0,0,0,0,0.38231666666666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,6547,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00733333333333333333,0,0,0,0,0.54670000000000000000,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0.00556666666666666667,0,0,0,0.00800000000000000000,0,0,0,0,0,0,0,0.23736666666666666667,0,0,0,0,0.54670000000000000000,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,7062,0.01500000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00700000000000000000,0,0,0,0,0.55646666666666666667,0,0,0,0,0,0,0.00531666666666666667,0,0,0,0,0,0,0,0.04241666666666666667,0,0.05765000000000000000,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.04908333333333333333,0,0,0,0,0.55646666666666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,7114,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.12258333333333333333,0,0,0,0,0.60343333333333333333,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.14201666666666666667,0,0.04325000000000000000,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0.08103333333333333333,0,0,0,0,0.60343333333333333333,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,8061,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.18703333333333333333,0.00000000000000000000,0,0,0,0.09146666666666666667,0,0,0,0,0.56106666666666666667,0,0,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0.03168333333333333333,0,0.00500000000000000000,0,0,0,0.00600000000000000000,0,0,0,0,0,0,0,0.07555000000000000000,0,0,0,0,0.56106666666666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,8342,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00500000000000000000,0,0,0,0,0.15378333333333333333,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0.00500000000000000000,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.05953333333333333333,0,0,0,0,0.15378333333333333333,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,8574,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.02906666666666666667,0,0,0,0,1.5928333333333333,0,0,0,0,0,0,0.00000000000000000000,0.00481666666666666667,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.06731666666666666667,0,0,0,0,1.5928333333333333,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,8733,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,0,0,0,0,0.38335000000000000000,0,0,0,0,0,0,0.00643333333333333333,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.38335000000000000000,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,9213,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00300000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,0,0,0,0,0.08726666666666666667,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.08726666666666666667,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,9585,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00600000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,0,0,0,0,0.16040000000000000000,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0.03000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.16040000000000000000,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,9612,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00791666666666666667,0,0,0,0,0.67435000000000000000,0,0,0,0,0,0,0.01295000000000000000,0,0,0,0,0,0,0,0,0,0.00518333333333333333,0,0,0,0.00290000000000000000,0,0,0,0,0,0,0,0.10886666666666666667,0,0,0,0,0.67435000000000000000,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,9775,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00966666666666666667,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.08538333333333333333,0,0,0,0,0.50635000000000000000,0,0,0,0,0,0,0.00000000000000000000,0.00400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.50635000000000000000,0,0,0,0,0,0,0
2015-01-01 01:00:00-06,9836,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00400000000000000000,0,0,0.00050000000000000000,0.00000000000000000000,0,0,0,0.17740000000000000000,0,0,0,0.00018333333333333333,0.62303333333333333333,0,0,0,0,0,0,0.00000000000000000000,0.00700000000000000000,0,0,0,0,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.03571666666666666667,0,0,0,0,0.62356666666666666667,0,0,0,0,0,0,0
2015-01-01 02:00:00-06,203,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175000000000000000,0,0,0.00000000000000000000,0,0,0,0,0.00828333333333333333,0,0,0,0,0.37738333333333333333,0,0,0,0,0,0,0.06636666666666666667,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00500000000000000000,0,0,0,0.000050000000000000000000,0,0,0,0,0,0,0,0.03663333333333333333,0,0,0,0,0.37738333333333333333,0,0,0,0,0,0,0
2015-01-01 02:00:00-06,1450,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200000000000000000,0,0,0.00125000000000000000,0.00000000000000000000,0,0,0,0.24001666666666666667,0,0,0,0,1.3621333333333333,0,0,0,0,0,0,0,0.05333333333333333333,0,0,0,0,0,0,0.33211666666666666667,0,0.03098333333333333333,0,0,0,0.01406666666666666667,0,0,0,0,0,0,0,0.31260000000000000000,0,0,0,0,1.3621333333333333,0,0,0,0,0,0,0
